Beach_Name,Nearest_Town,County,Lake,Latitude,Longitude,EPA_Bch_ID,Num_Samp_2016,Num_ADays_2016,Num_Exc_2016,Num_Close_2016,Perc_Exc_2016,Perc_Close_2016,Num_Samp_2017,Num_ADays_2017,Num_Exc_2017,Num_Close_2017,Perc_Exc_2017,Perc_Close_2017,Num_Samp_2018,Num_ADays_2018,Num_Exc_2018,Num_Close_2018,Perc_Exc_2018,Perc_Close_2018,Num_Samp_2019,Num_ADays_2019,Num_Exc_2019,Num_Close_2019,Perc_Exc_2019,Perc_Close_2019,Num_Samp_2020,Num_ADays_2020,Num_Exc_2020,Num_Close_2020,Perc_Exc_2020,Perc_Close_2020,Num_Samp_2021,Num_ADays_2021,Num_Exc_2021,Num_Close_2021,Perc_Exc_2021,Perc_Close_2021,Num_Samp_2022,Num_ADays_2022,Num_Exc_2022,Num_Close_2022,Perc_Exc_2022,Perc_Close_2022,Num_Samp_2023,Num_ADays_2023,Num_Exc_2023,Num_Close_2023,Perc_Exc_2023,Perc_Close_2023,Num_Samp_2024,Num_ADays_2024,Num_Exc_2024,Num_Close_2024,Perc_Exc_2024,Perc_Close_2024
Pennoyer Park,Kenosha,Kenosha,Lake Michigan,42.604696,-87.818143,WI130707,26,0,0,0,0,0,31,13,8,4,25.8,12.9,31,16,11,5,33.3,15.2,26,0,0,0,0,0,34,10,9,6,26.5,17.6,28,2,2,1,7.1,3.6,30,4,4,1,13.3,3.3,30,7,4,1,13.3,3.3,34,13,9,3,26.5,8.8
Simmons Island Park,Kenosha,Kenosha,Lake Michigan,42.591051,-87.813489,WI892494,41,4,4,0,9.8,0,39,9,5,1,12.8,2.6,39,10,8,3,18.2,6.8,26,0,0,0,0,0,42,7,7,1,16.7,2.4,40,2,2,1,5,2.5,41,3,3,0,7.3,0,41,5,3,1,7.3,2.4,46,11,9,0,19.6,0
Southport Park,Kenosha,Kenosha,Lake Michigan,42.562039,-87.812117,WI400905,26,0,0,0,0,0,26,2,2,0,7.7,0,26,5,4,0,13.8,0,26,0,0,0,0,0,30,3,3,2,10,6.7,29,3,3,1,10.3,3.4,26,0,0,0,0,0,29,4,2,0,6.9,0,28,5,2,0,7.1,0
Cresent,Algoma,Kewaunee,Lake Michigan,44.604261,-87.437713,WI608310,30,5,4,1,13.3,3.3,39,3,3,1,7.7,2.6,29,0,0,0,0,0,52,2,2,0,3.8,0,49,4,4,1,8.2,2,55,7,7,2,12.7,3.6,45,18,13,4,28.9,8.9,52,5,5,1,9.6,1.9,57,13,12,4,21.1,7
Selner Park (aka City Park),Kewaunee,Kewaunee,Lake Michigan,44.4561,-87.4995,WI620050,29,3,2,0,6.9,0,29,1,1,0,3.4,0,28,0,0,0,0,0,54,1,1,1,1.9,1.9,49,1,1,0,2,0,51,5,5,0,9.8,0,55,17,17,9,30.9,16.4,50,2,2,1,4,2,54,11,10,3,18.5,5.6
Blue Rail Marina Beach,Manitowoc,Manitowoc,Lake Michigan,44.100285,-87.648798,WI792119,31,6,6,2,19.4,6.5,31,7,7,1,22.6,3.2,28,2,2,0,7.1,0,43,7,7,0,16.3,0,50,4,4,1,8,2,52,15,15,5,28.8,9.6,50,9,8,2,16,4,55,18,17,8,30.9,14.5,65,35,35,9,53.8,13.8
Hika Park,Cleveland,Manitowoc,Lake Michigan,43.916225,-87.72364,WI932022,15,1,1,0,6.7,0,19,6,5,1,26.3,5.3,15,23,5,2,33.3,13.3,16,2,2,1,12.5,6.3,15,2,2,1,13.3,6.7,26,41,9,3,34.6,11.5,26,31,9,4,34.6,15.4,32,21,7,3,21.9,9.4,41,43,19,5,46.3,12.2
Memorial Dr - Mariner's Trail Parking at Parkway,Two Rivers,Manitowoc,Lake Michigan,44.1367247,-87.587435,WI136397,30,2,2,1,3.7,3.3,28,2,2,0,7.1,0,25,0,0,0,0,0,29,1,1,1,3.4,3.4,25,0,0,0,0,0,30,1,1,0,3.3,0,30,2,2,0,6.7,0,432,3,3,1,7.1,2.4,58,10,10,0,17.2,1.7
Memorial Dr - Mariner's Trail Parking at Thiede Rd,Two Rivers,Manitowoc,Lake Michigan,44.1328,-87.5979,WI866687,30,2,2,1,3.7,3.3,27,2,2,0,7.4,0,28,2,2,0,7.1,0,29,1,1,0,3.4,0,25,0,0,0,0,0,29,1,1,0,3.4,0,29,1,1,0,3.4,0,40,3,3,0,7.5,0,56,8,8,1,14.3,1.8
Neshotah Park,Two Rivers,Manitowoc,Lake Michigan,44.149713,-87.555535,WI821179,28,2,2,0,7.1,0,28,1,1,0,3.6,0,29,4,4,1,13.8,3.4,29,4,4,0,13.8,0,28,2,2,0,7.1,0,52,6,6,0,11.5,0,50,7,6,0,12,0,54,20,13,2,24.1,3.7,57,8,8,2,14,3.5
Red Arrow Manitowoc,Manitowoc,Manitowoc,Lake Michigan,44.076064,-87.655735,WI012139,31,5,5,2,16.1,6.5,31,4,4,2,12.9,6.5,28,2,2,0,7.1,0,44,7,7,1,16.7,2.4,50,7,7,0,14,0,55,11,11,0,20,0,50,16,15,1,30,2,62,30,29,14,46.8,22.6,67,31,32,6,47.8,9
Atwater Park,Shorewood,Milwaukee,Lake Michigan,43.090125,-87.872884,WI607583,28,8,2,0,7.1,0,27,0,0,0,0,0,28,7,2,0,7.1,0,28,4,1,0,3.6,0,25,5,1,1,4,4,28,4,1,0,3.6,0,28,7,2,1,7.1,3.6,27,4,1,0,3.7,0,28,4,1,0,3.6,0
Bender Park,Oak Creek,Milwaukee,Lake Michigan,42.867689,-87.839507,WI977064,31,10,4,0,12.9,0,28,5,0,0,0,0,31,7,2,0,6.5,0,31,3,3,1,9.7,3.2,33,8,5,1,15.2,3,31,5,4,2,12.9,6.5,30,1,1,1,3.3,3.3,30,2,2,0,6.7,0,32,6,5,1,15.6,3.1
Bradford Beach,Milwaukee,Milwaukee,Lake Michigan,43.061833,-87.873078,WI312597,65,18,6,0,9.2,0,40,21,5,1,12.5,2.5,37,19,3,0,8.1,0,37,8,0,0,0,0,39,11,1,1,2.6,2.6,41,13,4,0,9.8,0,41,8,0,0,0,0,40,12,0,0,0,0,43,23,3,2,7,4.7
Grant Park,South Milwaukee,Milwaukee,Lake Michigan,42.912232,-87.840298,WI429764,32,5,2,0,6.3,0,33,14,7,3,21.2,9.1,37,15,9,2,24.3,5.4,28,2,2,0,7.1,0,34,16,4,0,11.8,0,32,7,4,1,12.5,3.1,32,5,4,1,12.5,3.1,31,3,3,0,9.7,0,32,5,4,0,12.5,0
Klode Park,Whitefish Bay,Milwaukee,Lake Michigan,43.124497,-87.899825,WI291459,28,0,0,0,0,0,27,10,3,0,11.1,0,29,14,5,1,17.2,3.4,28,3,1,0,3.6,0,26,2,0,0,0,0,29,12,4,0,13.8,0,28,15,4,1,14.3,3.6,27,4,1,0,3.7,0,21,30,1,0,4.8,0
